"STATION","NAME","DATE","PRCP","SNOW"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-03-18","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-03-19","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-03-20","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-03-21","0.02",
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-03-22","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-03-23","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-03-24","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-03-25","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-03-26","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-03-27","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-03-28","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-03-29","0.09",
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-03-30","0.00",
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-03-31","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-04-01","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-04-02","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-04-03","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-04-04","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-04-05","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-04-06","0.00","0.0"
"US1AZMR0586","PHOENIX 10.0 S, AZ US","2022-04-07","0.00","0.0"
